date	open	high	low	close	volume
9/6/12	27.07980491	27.84336751	27.04428953	27.834488	
9/7/12	27.55925062	27.5858856	27.28401238	27.479343	
9/10/12	27.37279976	27.43495013	27.08868377	27.275134	
9/11/12	27.24849876	27.4438276	27.17746976	27.337285	
9/12/12	27.47046499	27.68355109	27.28401299	27.328407	
9/13/12	27.4260691	27.68355009	26.99101741	27.470464	
9/14/12	27.5326144	27.74570139	27.35504102	27.710186	
9/17/12	27.69243053	27.75458001	27.55925116	27.710186	
9/18/12	27.612522	27.71018599	27.55037252	27.683551	
9/19/12	27.60364339	27.69243052	27.55925115	27.568128	
9/20/12	27.47934377	27.94990999	27.44382839	27.923275	
9/21/12	27.90551609	28.06533222	27.60364287	27.69243	
9/24/12	27.52373585	27.58588622	27.20410448	27.328407	
9/25/12	27.47934375	27.52373598	26.9555049	26.982139	
9/26/12	26.88447576	27.16859085	26.67138877	26.78681	
9/27/12	26.78680962	26.99101798	26.53820726	26.777931	
9/28/12	26.79568924	26.86671823	26.40502975	26.422787	
10/1/12	26.46717809	26.61811559	26.12091263	26.183063	
10/2/12	26.35175725	26.53820747	26.19194201	26.334	
10/3/12	26.41390725	26.62699423	26.34287825	26.511573	
10/4/12	26.60923648	26.66251	26.25409239	26.66251	
10/5/12	26.84008173	26.85783898	26.40502913	26.502694	
10/8/12	26.31624148	26.56484385	26.23633387	26.440544	
10/9/12	26.35175709	26.40502883	25.90782587	25.996613	
10/10/12	25.88118961	26.02324671	25.70361802	25.730253	
10/11/12	25.94333908	25.96997584	25.63258901	25.703618	
10/12/12	25.72137386	26.0321266	25.57043725	25.925584	
10/15/12	26.07652114	26.38727123	25.96997676	26.200821	
10/16/12	26.14754939	26.40502861	26.03212639	26.183063	
10/17/12	26.014369	26.31624223	25.82791877	26.27185	
10/18/12	26.32512137	26.39615036	25.97885501	26.191942	
10/19/12	25.79240361	25.81904037	25.30408014	25.42838	
10/22/12	25.50828757	25.59707382	24.70921139	24.860148	
10/23/12	24.6559404	25.03772214	24.64706178	24.904541	
10/24/12	25.00220623	25.03772162	24.74472701	24.771362	
10/25/12	25.02884313	25.03772176	24.73584853	24.753604	
10/26/12	24.73584892	25.16202201	24.71809078	25.046599	
10/31/12	25.34847185	25.64146645	25.30407961	25.339595	
11/1/12	25.60595352	26.24521361	25.58819627	26.2097	
11/2/12	26.27184962	26.43166486	26.04100539	26.191942	
11/5/12	26.29848615	26.40502876	26.04100516	26.307363	
11/6/12	26.47605762	26.81344623	26.28960739	26.511573	
11/7/12	26.21857899	26.48493684	25.79240324	25.81904	
11/8/12	25.85455614	26.07652176	25.57043838	25.579317	
11/9/12	25.64146623	25.91670536	25.57931586	25.597074	
11/12/12	25.69474075	25.75689024	25.04659938	25.055478	
11/13/12	24.18717592	24.43781934	23.94548319	24.249837	
11/14/12	24.38411029	24.4288691	23.99023978	24.026047	
11/15/12	24.06185191	24.14241615	23.83806236	23.864918	
