Date	Open	High	Low	Close	Adj Close	Volume
2020-06-22	0.850000	0.890000	0.800000	0.830000	0.830000	119900
2020-06-23	0.830000	0.880000	0.800000	0.820000	0.820000	58400
2020-06-24	0.830000	0.870000	0.780000	0.830000	0.830000	132300
2020-06-25	0.840000	0.900000	0.840000	0.900000	0.900000	100500
2020-06-26	0.900000	0.920000	0.860000	0.910000	0.910000	76400
2020-06-29	0.920000	0.950000	0.900000	0.910000	0.910000	74700
2020-06-30	0.910000	0.930000	0.880000	0.880000	0.880000	75600
2020-07-01	0.870000	0.910000	0.870000	0.880000	0.880000	104700
2020-07-02	0.850000	0.920000	0.850000	0.880000	0.880000	76100
2020-07-06	0.850000	0.920000	0.850000	0.890000	0.890000	84600
2020-07-07	0.900000	0.920000	0.840000	0.840000	0.840000	100400
2020-07-08	0.880000	0.880000	0.810000	0.870000	0.870000	108100
2020-07-09	0.870000	0.900000	0.830000	0.890000	0.890000	34100
2020-07-10	0.840000	0.890000	0.840000	0.850000	0.850000	70500
2020-07-13	0.820000	0.850000	0.810000	0.830000	0.830000	109200
2020-07-14	0.830000	0.850000	0.810000	0.810000	0.810000	65900
2020-07-15	0.810000	0.860000	0.810000	0.850000	0.850000	116500
2020-07-16	0.870000	0.870000	0.830000	0.830000	0.830000	83100
2020-07-17	0.900000	0.900000	0.820000	0.840000	0.840000	65400
2020-07-20	0.840000	0.840000	0.800000	0.810000	0.810000	142300
2020-07-21	0.830000	0.830000	0.780000	0.780000	0.780000	151800
2020-07-22	0.780000	0.940000	0.780000	0.920000	0.920000	348000
2020-07-23	0.930000	0.970000	0.830000	0.880000	0.880000	313200
2020-07-24	0.930000	0.950000	0.880000	0.930000	0.930000	152400
2020-07-27	0.980000	1.000000	0.940000	1.000000	1.000000	645700
2020-07-28	1.000000	1.040000	0.970000	1.000000	1.000000	448200
2020-07-29	1.020000	1.060000	0.960000	1.050000	1.050000	449400
2020-07-30	1.020000	1.080000	0.950000	0.980000	0.980000	163600
2020-07-31	0.950000	0.990000	0.950000	0.960000	0.960000	108400
2020-08-03	0.980000	0.980000	0.800000	0.920000	0.920000	254800
2020-08-04	0.820000	0.940000	0.810000	0.900000	0.900000	39600
2020-08-05	0.900000	0.970000	0.900000	0.960000	0.960000	127100
2020-08-06	0.880000	0.990000	0.880000	0.940000	0.940000	100600
2020-08-07	0.970000	0.970000	0.910000	0.930000	0.930000	58900
2020-08-10	0.950000	0.990000	0.910000	0.950000	0.950000	165400
2020-08-11	0.990000	0.990000	0.830000	0.900000	0.900000	126400
2020-08-12	0.900000	0.950000	0.850000	0.920000	0.920000	165200
2020-08-13	0.870000	0.950000	0.870000	0.920000	0.920000	91200
2020-08-14	0.890000	0.940000	0.860000	0.890000	0.890000	66100
2020-08-17	0.900000	0.900000	0.830000	0.850000	0.850000	150100
2020-08-18	0.840000	0.880000	0.750000	0.810000	0.810000	341600
2020-08-19	0.770000	0.810000	0.750000	0.760000	0.760000	373000
2020-08-20	0.750000	0.790000	0.720000	0.780000	0.780000	140800
2020-08-21	0.810000	0.810000	0.740000	0.750000	0.750000	142200
2020-08-24	0.740000	0.810000	0.720000	0.750000	0.750000	192800
2020-08-25	0.750000	0.770000	0.720000	0.760000	0.760000	97400
2020-08-26	0.760000	0.800000	0.760000	0.760000	0.760000	46900
2020-08-27	0.760000	0.800000	0.720000	0.730000	0.730000	177500
